Timestamp,Question,ID,Volume,Liquidity,Decision,Strategy,Confidence,Edge,Risk_Flags
2026-01-02 08:29:05,Will Joe Biden get Coronavirus before the election?,12,32257.445115,0,REJECTED_CHECKLIST,None,100,0,['EXPIRED_MARKET']
2026-01-02 08:29:06,"Will Airbnb begin publicly trading before Jan 1, 2021?",17,89665.252158,0,REJECTED_CHECKLIST,None,100,0,['EXPIRED_MARKET']
2026-01-02 08:29:06,"Will a new Supreme Court Justice be confirmed before Nov 3rd, 2020?",18,43279.456005,0,REJECTED_CHECKLIST,None,100,0,['EXPIRED_MARKET']
2026-01-02 08:29:07,"Will Kim Kardashian and Kanye West divorce before Jan 1, 2021?",19,22067.475119,0.179651,REJECTED_CHECKLIST,None,100,0,['EXPIRED_MARKET']
2026-01-02 08:29:08,"Will Coinbase begin publicly trading before Jan 1, 2021?",20,116803.377183,0.367501,REJECTED_CHECKLIST,None,100,0,['EXPIRED_MARKET']
2026-01-02 08:29:16,"What will the price of Bitcoin be on November 4th, 2020?",36,59755.804763,0,REJECTED_CHECKLIST,,100,,['EXPIRED_MARKET']
2026-01-02 08:29:29,Will Trump win the 2020 U.S. presidential election?,40,10802601.987023,68.283267,REJECTED_CHECKLIST,None,100,0,['EXPIRED_MARKET']
2026-01-02 08:29:42,Will there be an Emergency Use Authorization (EUA) granted for a COVID-19 vaccine prior to Nov 3 2020?,42,21881.05833,0,REJECTED_CHECKLIST,None,100,0,['EXPIRED_MARKET']
2026-01-02 08:29:55,"What will the total value locked (TVL) in DeFi be at the end of 2020, according to DefiPulse?",43,46944.579746,4.601742,REJECTED_CHECKLIST,Zombie Hunter,100,0,['EXPIRED_MARKET']
2026-01-02 08:30:08,"What will the USD price of Filecoin ($FIL) be on November 17th, 2020?",44,69947.098531,190.134841,REJECTED_CHECKLIST,None,100,0,['EXPIRED_MARKET']
2026-01-02 08:30:20,Will Drake release a new studio album before the end of 2020?,46,31841.386373,0,REJECTED_CHECKLIST,None,100,0,['EXPIRED_MARKET']
2026-01-02 08:30:32,Which party will win Florida in the 2020 presidential election?,47,243053.252109,0,REJECTED_CHECKLIST,None,100,0,['EXPIRED_MARKET']
2026-01-02 08:30:44,How many confirmed Coronavirus cases will there be at EOY in the USA?,48,72112.484035,1.937475,REJECTED_CHECKLIST,None,100,0,['EXPIRED_MARKET']
2026-01-02 08:30:56,Who will win the 2020 MLB World Series?,56,107601.586423,0,REJECTED_CHECKLIST,,100,,['EXPIRED_MARKET']
2026-01-02 08:31:09,Will Dharma’s Phase 1 Retroactive UNI Distribution proposal pass?,57,35661.941003,0,REJECTED_CHECKLIST,None,100,0,['EXPIRED_MARKET']
2026-01-02 08:31:20,Will there be a federal charge filed against Hunter Biden before 2021?,59,127476.154269,0.13149,REJECTED_CHECKLIST,None,100,0,['EXPIRED_MARKET']
2026-01-02 08:31:33,Will BTC break $15k before 2021?,63,224706.488667,0,REJECTED_CHECKLIST,None,100,0,['EXPIRED_MARKET']
2026-01-02 08:37:06,Superbowl 55: Kansas City Chiefs vs Tampa Bay Buccaneers,115,649402.092029,40.005841,REJECTED_CHECKLIST,None,100,0,['EXPIRED_MARKET']
2026-01-02 09:03:52,Will the average Ethereum gas price be below 150 Gwei on April 5?,107931,53373.659518,998.002464,REJECTED_CHECKLIST,None,100,0,['EXPIRED_MARKET']
2026-01-02 09:37:29,Will the Bongcloud be played during the FTX Crypto Cup?,202072,5629.080636,2106.000889,REJECTED_CHECKLIST,,100,,['EXPIRED_MARKET']
